id,value,time,datetime_format
2,63.36,1664219266,2022-09-26 19:07:46
8,63.24,1664219567,2022-09-26 19:12:47
14,63.15,1664219868,2022-09-26 19:17:48
19,63.81,1664220169,2022-09-26 19:22:49
25,64.8,1664220470,2022-09-26 19:27:50
31,64.16,1664220771,2022-09-26 19:32:51
41,64.19,1664221072,2022-09-26 19:37:52
55,64.26,1664221374,2022-09-26 19:42:54
69,64.55,1664221676,2022-09-26 19:47:56
83,64.9,1664221977,2022-09-26 19:52:57
97,64.30,1664222279,2022-09-26 19:57:59
111,63.97,1664222581,2022-09-26 20:03:01
125,64.30,1664222882,2022-09-26 20:08:02
138,63.77,1664223184,2022-09-26 20:13:04
151,64.11,1664223485,2022-09-26 20:18:05
165,64.37,1664223786,2022-09-26 20:23:06
179,63.61,1664224087,2022-09-26 20:28:07
193,64.6,1664224388,2022-09-26 20:33:08
207,64.19,1664224689,2022-09-26 20:38:09
221,64.6,1664224990,2022-09-26 20:43:10
236,64.36,1664225292,2022-09-26 20:48:12
250,64.73,1664225594,2022-09-26 20:53:14
263,64.73,1664225895,2022-09-26 20:58:15
276,64.22,1664226196,2022-09-26 21:03:16
289,64.26,1664226497,2022-09-26 21:08:17
303,64.51,1664226799,2022-09-26 21:13:19
317,64.33,1664227100,2022-09-26 21:18:20
331,64.19,1664227402,2022-09-26 21:23:22
345,64.47,1664227703,2022-09-26 21:28:23
360,64.43,1664228005,2022-09-26 21:33:25
374,63.86,1664228306,2022-09-26 21:38:26
386,64.73,1664228607,2022-09-26 21:43:27
400,64.44,1664228909,2022-09-26 21:48:29
413,64.38,1664229211,2022-09-26 21:53:31
427,63.56,1664229512,2022-09-26 21:58:32
