id,value,time,datetime_format
26237,12.80,1666389757,2022-10-22 00:02:37
26239,12.72,1666390058,2022-10-22 00:07:38
26241,12.72,1666390359,2022-10-22 00:12:39
26243,12.67,1666390660,2022-10-22 00:17:40
26245,12.67,1666390961,2022-10-22 00:22:41
26247,12.63,1666391262,2022-10-22 00:27:42
26249,12.56,1666391564,2022-10-22 00:32:44
26251,12.56,1666391866,2022-10-22 00:37:46
26253,12.56,1666392167,2022-10-22 00:42:47
26255,12.52,1666392469,2022-10-22 00:47:49
26257,12.44,1666392771,2022-10-22 00:52:51
26259,12.40,1666393072,2022-10-22 00:57:52
26261,12.38,1666393374,2022-10-22 01:02:54
26263,12.39,1666393675,2022-10-22 01:07:55
26265,12.35,1666393976,2022-10-22 01:12:56
26267,12.35,1666394278,2022-10-22 01:17:58
26269,12.38,1666394580,2022-10-22 01:23:00
26271,12.35,1666394881,2022-10-22 01:28:01
26273,12.35,1666395183,2022-10-22 01:33:03
26275,12.34,1666395484,2022-10-22 01:38:04
26277,12.31,1666395786,2022-10-22 01:43:06
26279,12.28,1666396087,2022-10-22 01:48:07
26281,12.26,1666396389,2022-10-22 01:53:09
26283,12.31,1666396691,2022-10-22 01:58:11
26285,12.27,1666396992,2022-10-22 02:03:12
26287,12.26,1666397293,2022-10-22 02:08:13
26289,12.31,1666397594,2022-10-22 02:13:14
26291,12.27,1666397896,2022-10-22 02:18:16
26293,12.23,1666398198,2022-10-22 02:23:18
26295,12.19,1666398499,2022-10-22 02:28:19
26297,12.14,1666398800,2022-10-22 02:33:20
26299,12.14,1666399101,2022-10-22 02:38:21
26301,12.14,1666399403,2022-10-22 02:43:23
26303,12.13,1666399704,2022-10-22 02:48:24
26305,12.7,1666400005,2022-10-22 02:53:25
26307,11.90,1666400306,2022-10-22 02:58:26
26309,11.89,1666400608,2022-10-22 03:03:28
26311,11.84,1666400910,2022-10-22 03:08:30
26313,11.72,1666401212,2022-10-22 03:13:32
26315,11.67,1666401513,2022-10-22 03:18:33
26317,11.61,1666401814,2022-10-22 03:23:34
26319,11.55,1666402115,2022-10-22 03:28:35
26321,11.47,1666402416,2022-10-22 03:33:36
26323,11.48,1666402717,2022-10-22 03:38:37
26325,11.43,1666403018,2022-10-22 03:43:38
26327,11.43,1666403319,2022-10-22 03:48:39
26329,11.43,1666403620,2022-10-22 03:53:40
26331,11.43,1666403921,2022-10-22 03:58:41
26333,11.39,1666404225,2022-10-22 04:03:45
26336,11.38,1666404526,2022-10-22 04:08:46
26338,11.35,1666404828,2022-10-22 04:13:48
26340,11.39,1666405129,2022-10-22 04:18:49
26342,11.35,1666405431,2022-10-22 04:23:51
26344,11.35,1666405732,2022-10-22 04:28:52
26346,11.39,1666406034,2022-10-22 04:33:54
26348,11.35,1666406336,2022-10-22 04:38:56
26350,11.31,1666406637,2022-10-22 04:43:57
26352,11.35,1666406938,2022-10-22 04:48:58
26354,11.32,1666407239,2022-10-22 04:53:59
26356,11.31,1666407540,2022-10-22 04:59:00
26358,11.31,1666407841,2022-10-22 05:04:01
26360,11.32,1666408142,2022-10-22 05:09:02
26362,11.25,1666408444,2022-10-22 05:14:04
26364,11.18,1666408746,2022-10-22 05:19:06
26366,11.15,1666409048,2022-10-22 05:24:08
26368,11.10,1666409349,2022-10-22 05:29:09
26370,11.10,1666409650,2022-10-22 05:34:10
26372,11.10,1666409952,2022-10-22 05:39:12
26374,11.6,1666410254,2022-10-22 05:44:14
26376,11.6,1666410556,2022-10-22 05:49:16
26378,11.10,1666410858,2022-10-22 05:54:18
26380,11.6,1666411159,2022-10-22 05:59:19
26382,11.6,1666411461,2022-10-22 06:04:21
26384,11.1,1666411762,2022-10-22 06:09:22
26386,11.1,1666412064,2022-10-22 06:14:24
26388,11.2,1666412366,2022-10-22 06:19:26
26390,11.2,1666412668,2022-10-22 06:24:28
26392,11.3,1666412969,2022-10-22 06:29:29
26394,11.5,1666413271,2022-10-22 06:34:31
26396,11.5,1666413573,2022-10-22 06:39:33
26398,11.6,1666413874,2022-10-22 06:44:34
26400,11.7,1666414175,2022-10-22 06:49:35
26402,11.3,1666414477,2022-10-22 06:54:37
26404,11.1,1666414778,2022-10-22 06:59:38
